SRC_IP,MF_FLAG,DF_FLAG,PACKET_NO,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,DST_IP,IP_FRAG_OFF
204.160.104.126,0,0,243,Linux,20,1258920202.247803000,56,172.16.16.128,0
172.16.16.128,0,1,244,Linux,20,1258920202.247977000,128,157.166.255.38,0
172.16.16.128,0,1,245,Linux,20,1258920202.248060000,128,157.166.255.38,0
172.16.16.128,0,1,246,Linux,20,1258920202.248095000,128,157.166.255.38,0
172.16.16.128,0,1,247,Linux,20,1258920202.248753000,128,157.166.255.38,0
172.16.16.128,0,1,248,Linux,20,1258920202.248851000,128,157.166.255.38,0
172.16.16.128,0,1,249,Linux,20,1258920202.248945000,128,157.166.255.38,0
172.16.16.128,0,1,250,Linux,20,1258920202.250146000,128,204.160.104.126,0
172.16.16.128,0,1,251,Linux,20,1258920202.250237000,128,204.160.104.126,0
172.16.16.128,0,1,252,Linux,20,1258920202.250310000,128,204.160.104.126,0
172.16.16.128,0,1,253,Linux,20,1258920202.274848000,128,74.125.95.149,0
172.16.16.128,0,1,254,Linux,20,1258920202.274994000,128,157.166.255.38,0
172.16.16.128,0,1,255,Linux,20,1258920202.292682000,128,157.166.255.38,0
199.93.63.126,0,0,256,Linux,20,1258920202.292888000,56,172.16.16.128,0
199.93.63.126,0,0,257,Linux,20,1258920202.292892000,56,172.16.16.128,0
199.93.63.126,0,0,258,Linux,20,1258920202.292894000,56,172.16.16.128,0
157.166.255.38,0,0,259,Linux,20,1258920202.292896000,46,172.16.16.128,0
157.166.255.38,0,0,260,Linux,20,1258920202.292898000,46,172.16.16.128,0
157.166.255.38,0,0,261,Linux,20,1258920202.292901000,46,172.16.16.128,0
204.160.104.126,0,0,262,Linux,20,1258920202.292903000,56,172.16.16.128,0
157.166.226.25,0,0,263,Linux,20,1258920202.292906000,51,172.16.16.128,0
204.160.104.126,0,0,264,Linux,20,1258920202.292908000,56,172.16.16.128,0
204.160.104.126,0,0,265,Linux,20,1258920202.292910000,56,172.16.16.128,0
172.16.16.128,0,1,266,Linux,20,1258920202.294932000,128,204.160.104.126,0
172.16.16.128,0,1,267,Linux,20,1258920202.297430000,128,204.160.104.126,0
172.16.16.128,0,1,268,Linux,20,1258920202.297525000,128,204.160.104.126,0
172.16.16.128,0,1,269,Linux,20,1258920202.303496000,128,74.125.95.149,0
74.125.95.149,0,0,270,Linux,20,1258920202.313422000,51,172.16.16.128,0
157.166.255.38,0,0,271,Linux,20,1258920202.313428000,47,172.16.16.128,0
172.16.16.128,0,1,272,Linux,20,1258920202.313530000,128,74.125.95.149,0
172.16.16.128,0,1,273,Linux,20,1258920202.314306000,128,74.125.95.149,0
172.16.16.128,0,1,274,Linux,20,1258920202.314314000,128,74.125.95.149,0
204.160.104.126,0,0,275,Linux,20,1258920202.317909000,56,172.16.16.128,0
172.16.16.128,0,1,276,Linux,20,1258920202.318517000,128,204.160.104.126,0
157.166.255.38,0,0,277,Linux,20,1258920202.321712000,47,172.16.16.128,0
