TCP_WINDOW_SIZE,TCP_OPTIONS,DST_IP,TIMESTAMP,DST_PORT,TCP_HDR_LEN,TCP_FLAGS,TCP_ACK,MF_FLAG,TTL,PROTOCOL,TCP_SEQ,PACKET_NO,TCP_URP,DF_FLAG,PACKET_SIZE,SRC_PORT,KNOWN_HOST_DEVICE,IP_FRAG_OFF,SRC_IP
58,N/A,172.16.16.128,1258920202.017645000,2918,20,·······A····,751,0,51,tcp,1516174204,153,0,0,20,80,Linux,0,157.166.226.25
58,N/A,172.16.16.128,1258920202.017649000,2918,20,·······AP···,751,0,51,tcp,1516175610,154,0,0,20,80,Linux,0,157.166.226.25
8192,02:04:05:b4:01:03:03:02:01:01:04:02,199.93.63.126,1258920202.026439000,80,32,··········S·,0,0,128,tcp,2823810975,155,0,1,20,2925,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,157.166.226.25,1258920202.035607000,80,32,··········S·,0,0,128,tcp,1954708228,156,0,1,20,2926,Linux,0,172.16.16.128
8192,02:04:05:b4:01:03:03:02:01:01:04:02,157.166.255.38,1258920202.039370000,80,32,··········S·,0,0,128,tcp,3126777542,157,0,1,20,2927,Linux,0,172.16.16.128
4218,N/A,157.166.226.25,1258920202.059956000,80,20,·······AP···,22013,0,128,tcp,2094805765,158,0,1,20,2918,Linux,0,172.16.16.128
80,N/A,172.16.16.128,1258920202.063225000,2919,20,·······AP···,1972,0,56,tcp,2470616537,159,0,0,20,80,Linux,0,204.160.104.126
4013,N/A,204.160.104.126,1258920202.063768000,80,20,·······AP···,821,0,128,tcp,963228997,160,0,1,20,2919,Linux,0,172.16.16.128
80,N/A,172.16.16.128,1258920202.067143000,2921,20,·······AP···,1959,0,56,tcp,4016006141,161,0,0,20,80,Linux,0,204.160.104.126
80,N/A,172.16.16.128,1258920202.067146000,2922,20,·······AP···,1938,0,56,tcp,2669617311,162,0,0,20,80,Linux,0,204.160.104.126
4013,N/A,204.160.104.126,1258920202.067879000,80,20,·······AP···,821,0,128,tcp,2237904597,163,0,1,20,2921,Linux,0,172.16.16.128
4013,N/A,204.160.104.126,1258920202.067960000,80,20,·······AP···,821,0,128,tcp,2050727469,164,0,1,20,2922,Linux,0,172.16.16.128
80,N/A,172.16.16.128,1258920202.068348000,2923,20,·······AP···,1956,0,56,tcp,2664944130,165,0,0,20,80,Linux,0,204.160.104.126
4013,N/A,204.160.104.126,1258920202.068639000,80,20,·······AP···,821,0,128,tcp,1142129922,166,0,1,20,2923,Linux,0,172.16.16.128
N/A,N/A,172.16.16.255,1258920202.070084000,N/A,N/A,N/A,N/A,0,128,N/A,N/A,167,N/A,0,20,N/A,Linux,0,172.16.16.128
80,N/A,172.16.16.128,1258920202.070423000,2920,20,·······AP···,1951,0,56,tcp,2660326846,168,0,0,20,80,Linux,0,204.160.104.126
4013,N/A,204.160.104.126,1258920202.070730000,80,20,·······AP···,821,0,128,tcp,1321617141,169,0,1,20,2920,Linux,0,172.16.16.128
5840,02:04:05:7e:01:01:04:02:01:03:03:07,172.16.16.128,1258920202.076396000,2925,32,·······A··S·,1,0,56,tcp,4095529550,170,0,0,20,80,Linux,0,199.93.63.126
4218,N/A,199.93.63.126,1258920202.076472000,80,20,·······A····,1,0,128,tcp,2823810976,171,0,1,20,2925,Linux,0,172.16.16.128
80,N/A,172.16.16.128,1258920202.076723000,2924,20,·······AP···,1952,0,56,tcp,2556588092,172,0,0,20,80,Linux,0,204.160.104.126
