DF_FLAG,IP_FRAG_OFF,KNOWN_HOST_DEVICE,PACKET_SIZE,TIMESTAMP,TTL,PACKET_NO,PROTOCOL,SRC_PORT,DST_IP,MF_FLAG,DST_PORT,SRC_IP
0,0,MacOS,20,1666897696.246264000,57,164,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246265000,57,165,udp,443,192.168.86.21,0,52886,162.159.135.232
1,0,MacOS,20,1666897696.246265000,57,166,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897696.246554000,64,167,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.246664000,64,168,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.246681000,64,169,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.246725000,64,170,udp,52886,162.159.135.232,0,443,192.168.86.21
0,0,MacOS,20,1666897696.450322000,64,171,udp,57364,192.168.86.1,0,53,192.168.86.21
1,0,MacOS,20,1666897696.477035000,64,172,udp,53,192.168.86.21,0,57364,192.168.86.1
1,0,MacOS,20,1666897696.483807000,64,173,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.491036000,57,174,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.491134000,64,175,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.491438000,64,176,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.498649000,57,177,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.502258000,57,178,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.502259000,57,179,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.502345000,64,180,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.502412000,64,181,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.511156000,64,182,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.517455000,57,183,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.531899000,64,184,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.538062000,57,185,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.590798000,57,186,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.590799000,57,187,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897696.590880000,64,188,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
0,0,MacOS,20,1666897696.859907000,248,189,N/A,N/A,192.168.86.21,0,N/A,108.138.156.125
0,0,MacOS,20,1666897696.859907000,248,190,N/A,N/A,192.168.86.21,0,N/A,108.138.156.125
1,0,MacOS,20,1666897696.859969000,64,191,N/A,N/A,108.138.156.125,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.860068000,64,192,N/A,N/A,108.138.156.125,0,N/A,192.168.86.21
1,0,MacOS,20,1666897696.860135000,64,193,N/A,N/A,108.138.156.125,0,N/A,192.168.86.21
0,0,MacOS,20,1666897696.868721000,248,194,N/A,N/A,192.168.86.21,0,N/A,108.138.156.125
1,0,MacOS,20,1666897698.866874000,55,195,N/A,N/A,192.168.86.21,0,N/A,173.223.108.190
1,0,MacOS,20,1666897698.866874000,55,196,N/A,N/A,192.168.86.21,0,N/A,173.223.108.190
1,0,MacOS,20,1666897698.866875000,55,197,N/A,N/A,192.168.86.21,0,N/A,173.223.108.190
1,0,MacOS,20,1666897698.867157000,64,198,N/A,N/A,173.223.108.190,0,N/A,192.168.86.21
1,0,MacOS,20,1666897698.867161000,64,199,N/A,N/A,173.223.108.190,0,N/A,192.168.86.21
1,0,MacOS,20,1666897698.867470000,64,200,N/A,N/A,173.223.108.190,0,N/A,192.168.86.21
1,0,MacOS,20,1666897698.867685000,64,201,N/A,N/A,173.223.108.190,0,N/A,192.168.86.21
1,0,MacOS,20,1666897698.873787000,55,202,N/A,N/A,192.168.86.21,0,N/A,173.223.108.190
1,0,MacOS,20,1666897698.873787000,55,203,N/A,N/A,192.168.86.21,0,N/A,173.223.108.190
1,0,MacOS,20,1666897699.070627000,64,204,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.084437000,46,205,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897699.084438000,46,206,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897699.084438000,46,207,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897699.084615000,64,208,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897699.084911000,64,209,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897699.085028000,64,210,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897699.091617000,57,211,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897699.092848000,46,212,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897699.205194000,64,213,udp,65355,17.248.131.29,0,443,192.168.86.21
1,0,MacOS,20,1666897699.268101000,57,214,N/A,N/A,192.168.86.21,0,N/A,162.159.128.233
1,0,MacOS,20,1666897699.268325000,64,215,N/A,N/A,162.159.128.233,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.279258000,53,216,udp,443,192.168.86.21,0,65355,17.248.131.29
1,0,MacOS,20,1666897699.464824000,64,217,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.471149000,57,218,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
0,0,MacOS,20,1666897699.485882000,64,219,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897699.496023000,57,220,udp,443,192.168.86.21,0,52886,162.159.135.232
1,0,MacOS,20,1666897699.521116000,57,221,udp,443,192.168.86.21,0,52886,162.159.135.232
0,0,MacOS,20,1666897699.547375000,64,222,udp,52886,162.159.135.232,0,443,192.168.86.21
1,0,MacOS,20,1666897699.738535000,57,223,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.738535000,57,224,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.738600000,64,225,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.738681000,64,226,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.739912000,57,227,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739913000,57,228,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739913000,57,229,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739914000,57,230,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739914000,57,231,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739915000,57,232,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739916000,57,233,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739916000,57,234,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.739960000,64,235,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.740036000,64,236,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.745019000,57,237,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745020000,57,238,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745021000,57,239,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745021000,57,240,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745022000,57,241,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745022000,57,242,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745023000,57,243,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.745074000,64,244,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.745113000,64,245,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.745153000,64,246,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.766067000,57,247,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766067000,57,248,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766069000,57,249,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766069000,57,250,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766070000,57,251,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766070000,57,252,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766071000,57,253,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766071000,57,254,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766072000,57,255,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766072000,57,256,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766073000,57,257,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766074000,57,258,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766074000,57,259,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766075000,57,260,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.766128000,64,261,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.766160000,64,262,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.766250000,64,263,N/A,N/A,162.159.133.234,0,N/A,192.168.86.21
1,0,MacOS,20,1666897699.771698000,57,264,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
1,0,MacOS,20,1666897699.771699000,57,265,N/A,N/A,192.168.86.21,0,N/A,162.159.133.234
