PACKET_SIZE,SRC_IP,TTL,DST_IP,KNOWN_HOST_DEVICE,IP_FRAG_OFF,PACKET_NO,MF_FLAG,TIMESTAMP,DF_FLAG
20,192.168.86.21,64,162.159.135.232,MacOS,0,143,0,1666897696.050035000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,144,0,1666897696.053171000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,145,0,1666897696.053172000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,146,0,1666897696.053172000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,147,0,1666897696.053172000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,148,0,1666897696.053512000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,149,0,1666897696.053595000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,150,0,1666897696.057123000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,151,0,1666897696.057123000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,152,0,1666897696.057181000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,153,0,1666897696.062509000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,154,0,1666897696.088751000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,155,0,1666897696.103294000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,156,0,1666897696.129122000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,157,0,1666897696.211912000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,158,0,1666897696.222325000,1
20,162.159.135.232,57,192.168.86.21,MacOS,0,159,0,1666897696.246262000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,160,0,1666897696.246263000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,161,0,1666897696.246263000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,162,0,1666897696.246264000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,163,0,1666897696.246264000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,164,0,1666897696.246264000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,165,0,1666897696.246265000,0
20,162.159.135.232,57,192.168.86.21,MacOS,0,166,0,1666897696.246265000,1
20,192.168.86.21,64,162.159.135.232,MacOS,0,167,0,1666897696.246554000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,168,0,1666897696.246664000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,169,0,1666897696.246681000,0
20,192.168.86.21,64,162.159.135.232,MacOS,0,170,0,1666897696.246725000,0
20,192.168.86.21,64,192.168.86.1,MacOS,0,171,0,1666897696.450322000,0
20,192.168.86.1,64,192.168.86.21,MacOS,0,172,0,1666897696.477035000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,173,0,1666897696.483807000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,174,0,1666897696.491036000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,175,0,1666897696.491134000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,176,0,1666897696.491438000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,177,0,1666897696.498649000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,178,0,1666897696.502258000,1
20,162.159.133.234,57,192.168.86.21,MacOS,0,179,0,1666897696.502259000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,180,0,1666897696.502345000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,181,0,1666897696.502412000,1
20,192.168.86.21,64,162.159.133.234,MacOS,0,182,0,1666897696.511156000,1
