PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,82,0,N/A,172.16.16.128,51,20,Linux,1258920201.833694000,N/A,0,157.166.226.25
N/A,0,83,0,N/A,172.16.16.128,56,20,Linux,1258920201.833901000,N/A,0,204.160.104.126
N/A,0,84,0,N/A,204.160.104.126,128,20,Linux,1258920201.833942000,N/A,1,172.16.16.128
N/A,0,85,0,N/A,204.160.104.126,128,20,Linux,1258920201.834192000,N/A,1,172.16.16.128
N/A,0,86,0,N/A,172.16.16.128,56,20,Linux,1258920201.838590000,N/A,0,204.160.104.126
N/A,0,87,0,N/A,204.160.104.126,128,20,Linux,1258920201.838652000,N/A,1,172.16.16.128
N/A,0,88,0,N/A,204.160.104.126,128,20,Linux,1258920201.838887000,N/A,1,172.16.16.128
N/A,0,89,0,N/A,172.16.16.128,56,20,Linux,1258920201.844887000,N/A,0,204.160.104.126
N/A,0,90,0,N/A,204.160.104.126,128,20,Linux,1258920201.844945000,N/A,1,172.16.16.128
N/A,0,91,0,N/A,204.160.104.126,128,20,Linux,1258920201.845167000,N/A,1,172.16.16.128
N/A,0,92,0,N/A,172.16.16.128,56,20,Linux,1258920201.847989000,N/A,0,204.160.104.126
N/A,0,93,0,N/A,204.160.104.126,128,20,Linux,1258920201.848027000,N/A,1,172.16.16.128
N/A,0,94,0,N/A,204.160.104.126,128,20,Linux,1258920201.848210000,N/A,1,172.16.16.128
N/A,0,95,0,N/A,172.16.16.128,56,20,Linux,1258920201.864276000,N/A,0,204.160.104.126
N/A,0,96,0,N/A,172.16.16.128,56,20,Linux,1258920201.864969000,N/A,0,204.160.104.126
N/A,0,97,0,N/A,204.160.104.126,128,20,Linux,1258920201.865398000,N/A,1,172.16.16.128
udp,0,99,0,62631,224.0.0.252,1,20,Linux,1258920201.869765000,5355,0,172.16.16.128
N/A,0,100,0,N/A,172.16.16.128,56,20,Linux,1258920201.875327000,N/A,0,204.160.104.126
N/A,0,101,0,N/A,172.16.16.128,56,20,Linux,1258920201.875330000,N/A,0,204.160.104.126
N/A,0,102,0,N/A,204.160.104.126,128,20,Linux,1258920201.876769000,N/A,1,172.16.16.128
N/A,0,103,0,N/A,172.16.16.128,56,20,Linux,1258920201.880121000,N/A,0,204.160.104.126
N/A,0,104,0,N/A,172.16.16.128,56,20,Linux,1258920201.881221000,N/A,0,204.160.104.126
N/A,0,105,0,N/A,204.160.104.126,128,20,Linux,1258920201.881443000,N/A,1,172.16.16.128
N/A,0,106,0,N/A,172.16.16.128,56,20,Linux,1258920201.885805000,N/A,0,204.160.104.126
N/A,0,107,0,N/A,172.16.16.128,56,20,Linux,1258920201.885909000,N/A,0,204.160.104.126
N/A,0,108,0,N/A,204.160.104.126,128,20,Linux,1258920201.886207000,N/A,1,172.16.16.128
N/A,0,109,0,N/A,172.16.16.128,51,20,Linux,1258920201.894047000,N/A,0,157.166.226.25
N/A,0,110,0,N/A,157.166.226.25,128,20,Linux,1258920201.894115000,N/A,1,172.16.16.128
