PACKET_NO,PACKET_SIZE,TTL,MF_FLAG,IP_FRAG_OFF,TIMESTAMP,SRC_IP,SUB_PROTOCOL,KNOWN_HOST_DEVICE,DST_IP,DF_FLAG,HTTP_USER_AGENT
118,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
119,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
120,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
121,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
122,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
123,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
124,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
125,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
126,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
127,20,55,0,0,1663877074.931610000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
128,20,128,0,0,1663877074.932509000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
129,20,128,0,0,1663877074.932717000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
130,20,128,0,0,1663877074.932901000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
131,20,128,0,0,1663877074.933235000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
132,20,128,0,0,1663877074.933355000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
133,20,128,0,0,1663877074.933455000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
134,20,128,0,0,1663877074.933566000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
135,20,128,0,0,1663877074.933679000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
136,20,128,0,0,1663877074.933796000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
137,20,128,0,0,1663877074.933984000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
138,20,128,0,0,1663877074.934116000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
139,20,128,0,0,1663877074.934220000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
140,20,128,0,0,1663877074.934322000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
141,20,128,0,0,1663877074.934559000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
142,20,128,0,0,1663877074.934677000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
143,20,55,0,0,1663877074.953764000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
144,20,55,0,0,1663877074.953764000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
145,20,128,0,0,1663877074.954245000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
146,20,128,0,0,1663877074.955912000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
147,20,55,0,0,1663877074.997047000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
148,20,55,0,0,1663877074.997047000,34.98.127.226,N/A,Windows,10.169.169.21,1,N/A
149,20,128,0,0,1663877074.997623000,10.169.169.21,N/A,Windows,34.98.127.226,1,N/A
151,20,53,0,0,1663877076.153412000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
152,20,128,0,0,1663877076.194688000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
155,20,128,0,0,1663877077.471146000,10.169.169.21,N/A,Windows,13.226.191.150,1,N/A
156,20,231,0,0,1663877077.487990000,13.226.191.150,N/A,Windows,10.169.169.21,0,N/A
157,20,128,0,0,1663877077.669799000,10.169.169.21,N/A,Windows,13.226.191.15,1,N/A
159,20,231,0,0,1663877077.694530000,13.226.191.15,N/A,Windows,10.169.169.21,0,N/A
160,20,128,0,0,1663877077.836583000,10.169.169.21,N/A,Windows,13.226.191.15,1,N/A
161,20,231,0,0,1663877077.861794000,13.226.191.15,N/A,Windows,10.169.169.21,0,N/A
163,20,53,0,0,1663877078.269434000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
164,20,128,0,0,1663877078.297585000,10.169.169.21,N/A,Windows,23.38.180.224,1,N/A
165,20,50,0,0,1663877078.308618000,23.38.180.224,N/A,Windows,10.169.169.21,1,N/A
166,20,128,0,0,1663877078.308923000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
167,20,128,0,0,1663877078.461971000,10.169.169.21,N/A,Windows,13.226.191.150,1,N/A
168,20,231,0,0,1663877078.557105000,13.226.191.150,N/A,Windows,10.169.169.21,0,N/A
169,20,128,0,0,1663877078.784635000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
170,20,53,0,0,1663877078.878012000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
171,20,53,0,0,1663877078.958286000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
172,20,128,0,0,1663877078.999233000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
173,20,53,0,0,1663877079.411375000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
174,20,128,0,0,1663877079.453027000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
175,20,128,0,0,1663877079.500353000,10.169.169.21,N/A,Windows,151.101.194.104,1,N/A
176,20,53,0,0,1663877079.832586000,151.101.194.104,N/A,Windows,10.169.169.21,1,N/A
177,20,53,0,0,1663877081.023639000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
178,20,128,0,0,1663877081.064762000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
180,20,128,0,0,1663877081.266812000,10.169.169.21,N/A,Windows,13.64.180.106,1,N/A
181,20,104,0,0,1663877081.315502000,13.64.180.106,N/A,Windows,10.169.169.21,1,N/A
182,20,128,0,0,1663877081.356262000,10.169.169.21,N/A,Windows,13.64.180.106,1,N/A
185,20,1,0,0,1663877082.872746000,10.169.169.21,N/A,Windows,239.255.255.250,0,N/A
187,20,48,0,0,1663877083.508662000,140.82.112.26,N/A,Windows,10.169.169.21,1,N/A
188,20,128,0,0,1663877083.509050000,10.169.169.21,N/A,Windows,140.82.112.26,1,N/A
189,20,48,0,0,1663877083.549292000,140.82.112.26,N/A,Windows,10.169.169.21,1,N/A
190,20,128,0,0,1663877083.806768000,10.169.169.21,N/A,Windows,10.100.70.24,0,N/A
191,20,125,0,0,1663877083.809448000,10.100.70.24,N/A,Windows,10.169.169.21,0,N/A
192,20,128,0,0,1663877083.815237000,10.169.169.21,N/A,Windows,10.182.70.24,0,N/A
193,20,128,0,0,1663877083.816169000,10.169.169.21,N/A,Windows,10.182.70.95,0,N/A
194,20,128,0,0,1663877083.816908000,10.169.169.21,N/A,Windows,10.248.14.16,0,N/A
195,20,120,0,0,1663877083.819031000,10.182.70.24,N/A,Windows,10.169.169.21,0,N/A
196,20,121,0,0,1663877083.819863000,10.182.70.95,N/A,Windows,10.169.169.21,0,N/A
197,20,121,0,0,1663877083.824806000,10.248.14.16,N/A,Windows,10.169.169.21,0,N/A
198,20,1,0,0,1663877083.873764000,10.169.169.21,N/A,Windows,239.255.255.250,0,N/A
199,20,128,0,0,1663877084.003858000,10.169.169.21,N/A,Windows,10.100.70.24,0,N/A
200,20,125,0,0,1663877084.012206000,10.100.70.24,N/A,Windows,10.169.169.21,0,N/A
201,20,128,0,0,1663877084.014762000,10.169.169.21,N/A,Windows,10.182.70.24,0,N/A
203,20,120,0,0,1663877084.034267000,10.182.70.24,N/A,Windows,10.169.169.21,0,N/A
204,20,128,0,0,1663877084.035458000,10.169.169.21,N/A,Windows,10.182.70.95,0,N/A
205,20,128,0,0,1663877084.035884000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
206,20,128,0,0,1663877084.036342000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
207,20,121,0,0,1663877084.052255000,10.182.70.95,N/A,Windows,10.169.169.21,0,N/A
208,20,54,0,0,1663877084.052696000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
209,20,54,0,0,1663877084.052696000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
210,20,128,0,0,1663877084.053624000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
211,20,128,0,0,1663877084.053854000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
212,20,128,0,0,1663877084.054195000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
213,20,128,0,0,1663877084.054271000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
214,20,128,0,0,1663877084.055709000,10.169.169.21,N/A,Windows,10.248.14.16,0,N/A
215,20,54,0,0,1663877084.061363000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
216,20,54,0,0,1663877084.061363000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
217,20,54,0,0,1663877084.061363000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
218,20,128,0,0,1663877084.062108000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
219,20,54,0,0,1663877084.069358000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
220,20,120,0,0,1663877084.081585000,10.248.14.16,N/A,Windows,10.169.169.21,0,N/A
221,20,128,0,0,1663877084.084740000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
222,20,128,0,0,1663877084.089029000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
223,20,53,0,0,1663877084.096027000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
224,20,128,0,0,1663877084.099239000,10.169.169.21,N/A,Windows,10.100.70.24,0,N/A
225,20,128,0,0,1663877084.099703000,10.169.169.21,N/A,Windows,10.182.70.24,0,N/A
226,20,128,0,0,1663877084.099981000,10.169.169.21,N/A,Windows,10.182.70.95,0,N/A
227,20,128,0,0,1663877084.100287000,10.169.169.21,N/A,Windows,10.248.14.16,0,N/A
228,20,125,0,0,1663877084.104436000,10.100.70.24,N/A,Windows,10.169.169.21,0,N/A
229,20,120,0,0,1663877084.106623000,10.182.70.95,N/A,Windows,10.169.169.21,0,N/A
230,20,120,0,0,1663877084.106623000,10.182.70.24,N/A,Windows,10.169.169.21,0,N/A
231,20,121,0,0,1663877084.108430000,10.248.14.16,N/A,Windows,10.169.169.21,0,N/A
232,20,128,0,0,1663877084.121993000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
233,20,128,0,0,1663877084.122560000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
234,20,53,0,0,1663877084.125994000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
235,20,53,0,0,1663877084.126875000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
236,20,54,0,0,1663877084.131843000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
237,20,128,0,0,1663877084.132563000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
238,20,54,0,0,1663877084.133364000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
239,20,54,0,0,1663877084.133364000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
240,20,128,0,0,1663877084.133865000,10.169.169.21,N/A,Windows,142.251.45.78,1,N/A
241,20,54,0,0,1663877084.159932000,142.251.45.78,N/A,Windows,10.169.169.21,1,N/A
243,20,1,0,0,1663877084.874384000,10.169.169.21,N/A,Windows,239.255.255.250,0,N/A
245,20,53,0,0,1663877085.722308000,162.159.133.234,N/A,Windows,10.169.169.21,1,N/A
246,20,128,0,0,1663877085.762246000,10.169.169.21,N/A,Windows,162.159.133.234,1,N/A
247,20,1,0,0,1663877085.874704000,10.169.169.21,N/A,Windows,239.255.255.250,0,N/A
248,20,54,0,0,1663877086.273847000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
249,20,54,0,0,1663877086.273847000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
250,20,128,0,0,1663877086.274019000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
251,20,128,0,0,1663877086.274304000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
252,20,54,0,0,1663877086.279149000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
253,20,54,0,0,1663877086.279149000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
255,20,54,0,0,1663877086.576348000,192.0.78.22,N/A,Windows,10.169.169.21,1,N/A
256,20,128,0,0,1663877086.576481000,10.169.169.21,N/A,Windows,192.0.78.22,1,N/A
260,20,128,0,0,1663877090.092009000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
261,20,53,0,0,1663877090.175216000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
262,20,128,0,0,1663877090.177582000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
263,20,128,0,0,1663877090.177779000,10.169.169.21,N/A,Windows,208.67.222.222,0,N/A
264,20,43,0,0,1663877090.228649000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
265,20,128,0,0,1663877090.228805000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
266,20,128,0,0,1663877090.229245000,10.169.169.21,http,Windows,128.95.155.134,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
267,20,53,0,0,1663877090.235573000,208.67.222.222,N/A,Windows,10.169.169.21,1,N/A
268,20,43,0,0,1663877090.294078000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
269,20,43,0,0,1663877090.294388000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
270,20,128,0,0,1663877090.294449000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
271,20,43,0,0,1663877090.295257000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
272,20,128,0,0,1663877090.295378000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
273,20,43,0,0,1663877090.296331000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
274,20,128,0,0,1663877090.296452000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
275,20,128,0,0,1663877090.347786000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
276,20,128,0,0,1663877090.348854000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
277,20,43,0,0,1663877090.386248000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
278,20,54,0,0,1663877090.386248000,172.217.14.163,N/A,Windows,10.169.169.21,1,N/A
279,20,43,0,0,1663877090.386248000,128.95.155.134,N/A,Windows,10.169.169.21,1,N/A
280,20,128,0,0,1663877090.386691000,10.169.169.21,N/A,Windows,128.95.155.134,1,N/A
281,20,128,0,0,1663877090.387029000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
282,20,128,0,0,1663877090.388094000,10.169.169.21,N/A,Windows,172.217.14.163,1,N/A
283,20,54,0,0,1663877090.391055000,172.217.14.163,N/A,Windows,10.169.169.21,1,N/A
