DF_FLAG,PACKET_NO,TLS_VERSION,SRC_IP,TLS_CIPHER_SUITES,SUB_PROTOCOL,TLS_EXTENSION_SIG_ALGS,DST_IP,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,IP_FRAG_OFF,KNOWN_HOST_DEVICE
1,115,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.908056000,0,MacOS
1,116,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.908056000,0,MacOS
1,117,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.908878000,0,MacOS
1,118,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.908883000,0,MacOS
1,119,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.908885000,0,MacOS
1,120,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.916908000,0,MacOS
1,121,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.920427000,0,MacOS
1,122,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.925189000,0,MacOS
1,123,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.929485000,0,MacOS
1,124,N/A,162.159.128.233,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897695.992097000,0,MacOS
1,125,N/A,192.168.86.21,N/A,N/A,N/A,162.159.128.233,64,0,20,1666897695.992420000,0,MacOS
0,126,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.006761000,0,MacOS
1,127,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.019992000,0,MacOS
0,128,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.019993000,0,MacOS
0,129,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.019994000,0,MacOS
0,130,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.021147000,0,MacOS
1,131,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.024890000,0,MacOS
1,132,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.033653000,0,MacOS
1,133,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.033734000,0,MacOS
1,134,0x0301,192.168.86.21,0x2a2a,tls,0x0403,162.159.135.232,64,0,20,1666897696.034062000,0,MacOS
0,135,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.036406000,0,MacOS
0,136,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.036569000,0,MacOS
0,137,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.036926000,0,MacOS
1,138,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.043257000,0,MacOS
1,139,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.044424000,0,MacOS
1,140,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.044424000,0,MacOS
1,141,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.044476000,0,MacOS
1,142,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.044520000,0,MacOS
1,143,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.050035000,0,MacOS
1,144,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.053171000,0,MacOS
1,145,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.053172000,0,MacOS
1,146,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.053172000,0,MacOS
1,147,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.053172000,0,MacOS
0,148,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.053512000,0,MacOS
0,149,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.053595000,0,MacOS
1,150,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.057123000,0,MacOS
1,151,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.057123000,0,MacOS
1,152,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.057181000,0,MacOS
1,153,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.062509000,0,MacOS
0,154,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.088751000,0,MacOS
1,155,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.103294000,0,MacOS
0,156,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.129122000,0,MacOS
0,157,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.211912000,0,MacOS
1,158,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.222325000,0,MacOS
0,159,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246262000,0,MacOS
0,160,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246263000,0,MacOS
0,161,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246263000,0,MacOS
0,162,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246264000,0,MacOS
0,163,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246264000,0,MacOS
0,164,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246264000,0,MacOS
0,165,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246265000,0,MacOS
1,166,N/A,162.159.135.232,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.246265000,0,MacOS
0,167,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.246554000,0,MacOS
0,168,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.246664000,0,MacOS
0,169,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.246681000,0,MacOS
0,170,N/A,192.168.86.21,N/A,N/A,N/A,162.159.135.232,64,0,20,1666897696.246725000,0,MacOS
0,171,N/A,192.168.86.21,N/A,N/A,N/A,192.168.86.1,64,0,20,1666897696.450322000,0,MacOS
1,172,N/A,192.168.86.1,N/A,N/A,N/A,192.168.86.21,64,0,20,1666897696.477035000,0,MacOS
1,173,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.483807000,0,MacOS
1,174,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.491036000,0,MacOS
1,175,N/A,192.168.86.21,N/A,N/A,N/A,162.159.133.234,64,0,20,1666897696.491134000,0,MacOS
1,176,0x0301,192.168.86.21,0x3a3a,tls,0x0403,162.159.133.234,64,0,20,1666897696.491438000,0,MacOS
1,177,N/A,162.159.133.234,N/A,N/A,N/A,192.168.86.21,57,0,20,1666897696.498649000,0,MacOS
