DST_IP,IP_FRAG_OFF,HTTP_USER_AGENT,SRC_IP,PACKET_NO,DF_FLAG,TTL,MF_FLAG,PACKET_SIZE,TIMESTAMP,SUB_PROTOCOL,KNOWN_HOST_DEVICE
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,97,1,128,0,20,1258920201.865398000,http,Linux
224.0.0.252,0,N/A,172.16.16.128,99,0,1,0,20,1258920201.869765000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,100,0,56,0,20,1258920201.875327000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,101,0,56,0,20,1258920201.875330000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,102,1,128,0,20,1258920201.876769000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,103,0,56,0,20,1258920201.880121000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,104,0,56,0,20,1258920201.881221000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,105,1,128,0,20,1258920201.881443000,http,Linux
172.16.16.128,0,N/A,204.160.104.126,106,0,56,0,20,1258920201.885805000,N/A,Linux
172.16.16.128,0,N/A,204.160.104.126,107,0,56,0,20,1258920201.885909000,N/A,Linux
204.160.104.126,0,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),172.16.16.128,108,1,128,0,20,1258920201.886207000,http,Linux
172.16.16.128,0,N/A,157.166.226.25,109,0,51,0,20,1258920201.894047000,N/A,Linux
