DST_IP,PACKET_NO,SRC_PORT,TCP_URP,PACKET_SIZE,TCP_FLAGS,TCP_WINDOW_SIZE,DST_PORT,TCP_ACK,PROTOCOL,KNOWN_HOST_DEVICE,DF_FLAG,TLS_EXTENSION_SIG_ALGS,TCP_HDR_LEN,MF_FLAG,TIMESTAMP,SUB_PROTOCOL,IP_FRAG_OFF,SRC_IP,TLS_CIPHER_SUITES,TCP_SEQ,TLS_VERSION,TTL,TCP_OPTIONS
142.250.113.100,45,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.604232000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
142.250.113.100,46,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.605153000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
142.250.113.100,47,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.605279000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
142.250.113.100,48,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.605319000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,49,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.610768000,N/A,0,142.250.113.100,N/A,N/A,N/A,56,N/A
192.168.86.21,50,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.612957000,N/A,0,142.250.113.100,N/A,N/A,N/A,56,N/A
192.168.86.21,51,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.612959000,N/A,0,142.250.113.100,N/A,N/A,N/A,58,N/A
192.168.86.21,52,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.612959000,N/A,0,142.250.113.100,N/A,N/A,N/A,58,N/A
142.250.113.100,53,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.613599000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,54,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.653670000,N/A,0,142.250.113.100,N/A,N/A,N/A,58,N/A
192.168.86.21,55,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.653671000,N/A,0,142.250.113.100,N/A,N/A,N/A,58,N/A
142.250.113.100,56,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.653974000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
142.250.113.100,57,55620,N/A,20,N/A,N/A,443,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.679269000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,58,443,N/A,20,N/A,N/A,55620,N/A,udp,MacOS,1,N/A,N/A,0,1666897690.685758000,N/A,0,142.250.113.100,N/A,N/A,N/A,58,N/A
162.159.130.234,59,56447,0,20,·······AP···,4096,443,295,tcp,MacOS,1,N/A,20,0,1666897691.321190000,N/A,0,192.168.86.21,N/A,3511176516,N/A,64,N/A
162.159.130.234,60,56447,0,20,·······A···F,4096,443,295,tcp,MacOS,1,N/A,20,0,1666897691.321702000,N/A,0,192.168.86.21,N/A,3511176546,N/A,64,N/A
192.168.86.21,61,443,0,20,·······A···F,8,56447,32,tcp,MacOS,1,N/A,20,0,1666897691.337200000,N/A,0,162.159.130.234,N/A,3674959950,N/A,57,N/A
162.159.130.234,62,56447,0,20,·······A····,4096,443,296,tcp,MacOS,1,N/A,20,0,1666897691.337464000,N/A,0,192.168.86.21,N/A,3511176547,N/A,64,N/A
192.168.86.1,63,33155,N/A,20,N/A,N/A,53,N/A,udp,MacOS,0,N/A,N/A,0,1666897691.922391000,N/A,0,192.168.86.21,N/A,N/A,N/A,64,N/A
192.168.86.21,64,53,N/A,20,N/A,N/A,33155,N/A,udp,MacOS,1,N/A,N/A,0,1666897691.955377000,N/A,0,192.168.86.1,N/A,N/A,N/A,64,N/A
140.82.113.6,65,56516,0,20,··········S·,65535,443,0,tcp,MacOS,1,N/A,44,0,1666897691.955682000,N/A,0,192.168.86.21,N/A,2972722775,N/A,64,02:04:05:b4:01:03:03:06:01:01:08:0a:51:c8:53:24:00:00:00:00:04:02:00:00
192.168.86.21,66,443,0,20,·······A··S·,65535,56516,1,tcp,MacOS,1,N/A,40,0,1666897691.997806000,N/A,0,140.82.113.6,N/A,1912151087,N/A,48,02:04:05:9c:04:02:08:0a:fa:34:e7:cc:51:c8:53:24:01:03:03:0a
140.82.113.6,67,56516,0,20,·······A····,2069,443,1,tcp,MacOS,1,N/A,32,0,1666897691.997919000,N/A,0,192.168.86.21,N/A,2972722776,N/A,64,01:01:08:0a:51:c8:53:4e:fa:34:e7:cc
140.82.113.6,68,56516,0,20,·······AP···,2069,443,1,tcp,MacOS,1,0x0403,32,0,1666897691.998412000,tls,0,192.168.86.21,0x8a8a,2972722776,0x0301,64,01:01:08:0a:51:c8:53:4e:fa:34:e7:cc
192.168.86.21,69,443,0,20,·······AP···,66,56516,518,tcp,MacOS,1,N/A,32,0,1666897692.044152000,N/A,0,140.82.113.6,N/A,1912152512,N/A,48,01:01:08:0a:fa:34:e7:f7:51:c8:53:4e
192.168.86.21,70,443,0,20,·······A····,66,56516,518,tcp,MacOS,1,N/A,32,0,1666897692.044153000,N/A,0,140.82.113.6,N/A,1912151088,N/A,48,01:01:08:0a:fa:34:e7:f7:51:c8:53:4e
