TLS_EXTENSION_SIG_ALGS,DST_PORT,TCP_URP,SRC_IP,TCP_ACK,IP_FRAG_OFF,SUB_PROTOCOL,DST_IP,MF_FLAG,PACKET_SIZE,TCP_OPTIONS,KNOWN_HOST_DEVICE,TLS_VERSION,TLS_CIPHER_SUITES,TCP_HDR_LEN,PACKET_NO,TCP_FLAGS,SRC_PORT,HTTP_USER_AGENT,TIMESTAMP,DF_FLAG,TTL,TCP_SEQ,PROTOCOL,TCP_WINDOW_SIZE
N/A,443,0,10.169.169.63,1,0,N/A,209.54.176.34,0,20,N/A,MacOS,N/A,N/A,20,64,·······A····,65325,N/A,1663875293.967224000,0,64,3305459958,tcp,4096
N/A,65325,0,209.54.176.34,2,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,65,·······A····,443,N/A,1663875294.015813000,1,214,3379917448,tcp,884
N/A,443,N/A,10.169.169.63,N/A,0,N/A,52.96.8.130,0,20,N/A,MacOS,N/A,N/A,N/A,66,N/A,54735,N/A,1663875294.192678000,1,64,N/A,udp,N/A
N/A,54735,N/A,52.96.8.130,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,67,N/A,443,N/A,1663875294.234204000,1,237,N/A,udp,N/A
N/A,65414,0,52.111.239.4,1,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,20,69,·······AP···,443,N/A,1663875295.032629000,1,111,2469832262,tcp,2053
N/A,443,0,10.169.169.63,52,0,N/A,52.111.239.4,0,20,N/A,MacOS,N/A,N/A,20,70,·······A····,65414,N/A,1663875295.032823000,1,64,4147201782,tcp,4096
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,71,N/A,64352,N/A,1663875295.040868000,1,64,N/A,udp,N/A
N/A,80,0,10.169.169.63,1,0,N/A,128.95.155.198,0,20,01:01:08:0a:9d:20:2f:ed:95:7d:07:22,MacOS,N/A,N/A,32,72,·······A···F,65500,N/A,1663875295.041128000,1,64,3810542442,tcp,2048
N/A,80,0,10.169.169.63,0,0,N/A,128.95.155.198,0,20,02:04:05:b4:01:03:03:06:01:01:08:0a:85:f7:b8:ea:00:00:00:00:04:02:00:00,MacOS,N/A,N/A,44,73,····CE····S·,65514,N/A,1663875295.041521000,1,64,1450543227,tcp,65535
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,74,N/A,64352,N/A,1663875295.043040000,1,64,N/A,udp,N/A
N/A,80,0,10.169.169.63,1,0,http,128.95.155.198,0,20,01:01:08:0a:8d:28:bf:52:95:7d:07:1b,MacOS,N/A,N/A,32,75,·······AP···,65499,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",1663875295.043347000,1,64,2217591042,tcp,2055
N/A,80,0,10.169.169.63,1,0,N/A,128.95.155.198,0,20,01:01:08:0a:8d:28:bf:52:95:7d:07:1b,MacOS,N/A,N/A,32,76,·······A···F,65499,N/A,1663875295.043421000,1,64,2217592064,tcp,2055
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,77,N/A,443,N/A,1663875295.044228000,1,54,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,78,N/A,443,N/A,1663875295.045749000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,79,N/A,64352,N/A,1663875295.045885000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,80,N/A,443,N/A,1663875295.059330000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,81,N/A,64352,N/A,1663875295.059592000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,82,N/A,443,N/A,1663875295.059663000,1,54,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,83,N/A,443,N/A,1663875295.061108000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,84,N/A,64352,N/A,1663875295.061316000,1,64,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,85,N/A,443,N/A,1663875295.061452000,1,54,N/A,udp,N/A
N/A,64352,N/A,142.251.35.206,N/A,0,N/A,10.169.169.63,0,20,N/A,MacOS,N/A,N/A,N/A,86,N/A,443,N/A,1663875295.064106000,1,54,N/A,udp,N/A
N/A,443,N/A,10.169.169.63,N/A,0,N/A,142.251.35.206,0,20,N/A,MacOS,N/A,N/A,N/A,87,N/A,64352,N/A,1663875295.086927000,1,64,N/A,udp,N/A
N/A,65500,0,128.95.155.198,2,0,N/A,10.169.169.63,0,20,01:01:08:0a:95:7d:1d:1d:9d:20:2f:ed,MacOS,N/A,N/A,32,88,·······A····,80,N/A,1663875295.092592000,1,44,1503563316,tcp,65
N/A,65514,0,128.95.155.198,1,0,N/A,10.169.169.63,0,20,02:04:05:b4:04:02:08:0a:95:7d:1d:1d:85:f7:b8:ea:01:03:03:08,MacOS,N/A,N/A,40,89,·····E·A··S·,80,N/A,1663875295.092593000,1,44,3687446132,tcp,14480
N/A,80,0,10.169.169.63,1,0,N/A,128.95.155.198,0,20,01:01:08:0a:85:f7:b9:1e:95:7d:1d:1d,MacOS,N/A,N/A,32,90,·······A····,65514,N/A,1663875295.092784000,1,64,1450543228,tcp,2058
