PACKET_NO,KNOWN_HOST_DEVICE,DST_IP,SRC_IP,PACKET_SIZE,TIMESTAMP,TTL,DF_FLAG,MF_FLAG,IP_FRAG_OFF,PROTOCOL,SRC_PORT,DST_PORT,SUB_PROTOCOL
131,windows,34.98.127.226,10.169.169.21,20,1663877074.933235000,128,1,0,0,udp,65380,443,quic
132,windows,34.98.127.226,10.169.169.21,20,1663877074.933355000,128,1,0,0,udp,65380,443,quic
133,windows,34.98.127.226,10.169.169.21,20,1663877074.933455000,128,1,0,0,udp,65380,443,quic
134,windows,34.98.127.226,10.169.169.21,20,1663877074.933566000,128,1,0,0,udp,65380,443,quic
135,windows,34.98.127.226,10.169.169.21,20,1663877074.933679000,128,1,0,0,udp,65380,443,quic
136,windows,34.98.127.226,10.169.169.21,20,1663877074.933796000,128,1,0,0,udp,65380,443,quic
137,windows,34.98.127.226,10.169.169.21,20,1663877074.933984000,128,1,0,0,udp,65380,443,quic
138,windows,34.98.127.226,10.169.169.21,20,1663877074.934116000,128,1,0,0,udp,65380,443,quic
139,windows,34.98.127.226,10.169.169.21,20,1663877074.934220000,128,1,0,0,udp,65380,443,quic
140,windows,34.98.127.226,10.169.169.21,20,1663877074.934322000,128,1,0,0,udp,65380,443,quic
141,windows,34.98.127.226,10.169.169.21,20,1663877074.934559000,128,1,0,0,udp,65380,443,quic
142,windows,34.98.127.226,10.169.169.21,20,1663877074.934677000,128,1,0,0,udp,65380,443,quic
143,windows,10.169.169.21,34.98.127.226,20,1663877074.953764000,55,1,0,0,udp,443,65380,quic
144,windows,10.169.169.21,34.98.127.226,20,1663877074.953764000,55,1,0,0,udp,443,65380,quic
145,windows,34.98.127.226,10.169.169.21,20,1663877074.954245000,128,1,0,0,udp,65380,443,quic
146,windows,162.159.133.234,10.169.169.21,20,1663877074.955912000,128,1,0,0,tcp,53331,443,
147,windows,10.169.169.21,34.98.127.226,20,1663877074.997047000,55,1,0,0,udp,443,65380,quic
148,windows,10.169.169.21,34.98.127.226,20,1663877074.997047000,55,1,0,0,udp,443,65380,quic
149,windows,34.98.127.226,10.169.169.21,20,1663877074.997623000,128,1,0,0,udp,65380,443,quic
151,windows,10.169.169.21,162.159.133.234,20,1663877076.153412000,53,1,0,0,tcp,443,53331,tls
152,windows,162.159.133.234,10.169.169.21,20,1663877076.194688000,128,1,0,0,tcp,53331,443,
155,windows,13.226.191.150,10.169.169.21,20,1663877077.471146000,128,1,0,0,tcp,64082,443,tls
156,windows,10.169.169.21,13.226.191.150,20,1663877077.487990000,231,0,0,0,tcp,443,64082,
157,windows,13.226.191.15,10.169.169.21,20,1663877077.669799000,128,1,0,0,tcp,64088,443,tls
159,windows,10.169.169.21,13.226.191.15,20,1663877077.694530000,231,0,0,0,tcp,443,64088,
160,windows,13.226.191.15,10.169.169.21,20,1663877077.836583000,128,1,0,0,tcp,64090,443,tls
161,windows,10.169.169.21,13.226.191.15,20,1663877077.861794000,231,0,0,0,tcp,443,64090,
163,windows,10.169.169.21,162.159.133.234,20,1663877078.269434000,53,1,0,0,tcp,443,53331,tls
164,windows,23.38.180.224,10.169.169.21,20,1663877078.297585000,128,1,0,0,tcp,64084,443,tls
165,windows,10.169.169.21,23.38.180.224,20,1663877078.308618000,50,1,0,0,tcp,443,64084,
166,windows,162.159.133.234,10.169.169.21,20,1663877078.308923000,128,1,0,0,tcp,53331,443,
167,windows,13.226.191.150,10.169.169.21,20,1663877078.461971000,128,1,0,0,tcp,64091,443,tls
168,windows,10.169.169.21,13.226.191.150,20,1663877078.557105000,231,0,0,0,tcp,443,64091,
169,windows,162.159.133.234,10.169.169.21,20,1663877078.784635000,128,1,0,0,tcp,53331,443,tls
170,windows,10.169.169.21,162.159.133.234,20,1663877078.878012000,53,1,0,0,tcp,443,53331,
171,windows,10.169.169.21,162.159.133.234,20,1663877078.958286000,53,1,0,0,tcp,443,53331,tls
172,windows,162.159.133.234,10.169.169.21,20,1663877078.999233000,128,1,0,0,tcp,53331,443,
173,windows,10.169.169.21,162.159.133.234,20,1663877079.411375000,53,1,0,0,tcp,443,53331,tls
174,windows,162.159.133.234,10.169.169.21,20,1663877079.453027000,128,1,0,0,tcp,53331,443,
