TLS_EXTENSION_SIG_ALGS,TLS_CIPHER_SUITES,IP_FRAG_OFF,TCP_OPTIONS,TCP_ACK,TIMESTAMP,TTL,DF_FLAG,TCP_SEQ,MF_FLAG,PROTOCOL,SUB_PROTOCOL,TCP_WINDOW_SIZE,PACKET_NO,DST_PORT,TCP_FLAGS,TLS_VERSION,HTTP_USER_AGENT,SRC_PORT,DST_IP,SRC_IP,PACKET_SIZE,TCP_HDR_LEN,KNOWN_HOST_DEVICE,TCP_URP
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162087484,0,tcp,N/A,294,79,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162088896,0,tcp,N/A,294,80,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162090308,0,tcp,N/A,294,81,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162091720,0,tcp,N/A,294,82,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2854,1663877503.926140000,118,0,3162093132,0,tcp,N/A,294,83,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,2893,1663877503.926140000,118,0,3162094288,0,tcp,N/A,294,84,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,51747,1663877503.926448000,128,1,2339533128,0,tcp,N/A,512,85,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,51747,1663877503.969642000,128,1,2339533128,0,tcp,N/A,512,86,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877503.979866000,118,0,3162094288,0,tcp,N/A,305,87,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,51747,1663877504.316077000,128,1,2339533282,0,tcp,N/A,512,88,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,51747,1663877504.316821000,128,1,2339533432,0,tcp,N/A,512,89,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877504.318938000,118,0,3162094288,0,tcp,N/A,305,90,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877504.318938000,118,0,3162094533,0,tcp,N/A,305,91,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877504.318938000,118,0,3162095122,0,tcp,N/A,305,92,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,52612,1663877504.319050000,128,1,2339533607,0,tcp,N/A,509,93,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877504.319274000,118,0,3162095153,0,tcp,N/A,305,94,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3047,1663877504.319274000,118,0,3162095153,0,tcp,N/A,305,95,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,01:01:05:0a:bc:79:be:31:bc:79:be:58,52651,1663877504.319343000,128,1,2339533607,0,tcp,N/A,509,96,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,32,Windows,0
N/A,N/A,0,N/A,52651,1663877504.319760000,128,1,2339533607,0,tcp,N/A,509,97,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3197,1663877504.322205000,118,0,3162095192,0,tcp,N/A,316,98,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3372,1663877504.322205000,118,0,3162095192,0,tcp,N/A,327,99,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.322205000,118,0,3162095192,0,tcp,N/A,327,100,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.350645000,118,0,3162095192,0,tcp,N/A,327,101,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.350900000,118,0,3162095869,0,tcp,N/A,327,102,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,54132,1663877504.350996000,128,1,2339533646,0,tcp,N/A,512,103,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.351415000,118,0,3162096673,0,tcp,N/A,327,104,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.352662000,118,0,3162097072,0,tcp,N/A,327,105,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,55335,1663877504.352765000,128,1,2339533646,0,tcp,N/A,508,106,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.354564000,118,0,3162097876,0,tcp,N/A,327,107,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.354800000,118,0,3162097908,0,tcp,N/A,327,108,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.354800000,118,0,3162097939,0,tcp,N/A,327,109,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,55437,1663877504.354900000,128,1,2339533646,0,tcp,N/A,507,110,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,55437,1663877504.355495000,128,1,2339533646,0,tcp,N/A,507,111,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.357107000,118,0,3162097978,0,tcp,N/A,327,112,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3411,1663877504.357107000,118,0,3162098010,0,tcp,N/A,327,113,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,55500,1663877504.357387000,128,1,2339533685,0,tcp,N/A,507,114,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3450,1663877504.362744000,118,0,3162098041,0,tcp,N/A,327,115,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,55500,1663877504.690955000,128,1,2339533685,0,tcp,N/A,507,116,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.695974000,118,0,3162098041,0,tcp,N/A,338,117,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.755676000,118,0,3162098041,0,tcp,N/A,338,118,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.755862000,118,0,3162098439,0,tcp,N/A,338,119,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,56472,1663877504.755983000,128,1,2339533936,0,tcp,N/A,512,120,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.761353000,118,0,3162099013,0,tcp,N/A,338,121,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.762691000,118,0,3162099045,0,tcp,N/A,338,122,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3701,1663877504.762691000,118,0,3162099076,0,tcp,N/A,338,123,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,56574,1663877504.762775000,128,1,2339533936,0,tcp,N/A,512,124,443,·······A····,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,56574,1663877504.763118000,128,1,2339533936,0,tcp,N/A,512,125,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3740,1663877504.765375000,118,0,3162099115,0,tcp,N/A,338,126,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,56574,1663877504.898188000,128,1,2339533975,0,tcp,N/A,512,127,443,·······AP···,N/A,N/A,1197,142.251.33.36,10.169.161.162,20,20,Windows,0
N/A,N/A,0,N/A,3917,1663877504.902109000,118,0,3162099115,0,tcp,N/A,349,128,1197,·······A····,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
N/A,N/A,0,N/A,3917,1663877504.961247000,118,0,3162099115,0,tcp,N/A,349,129,1197,·······AP···,N/A,N/A,443,10.169.161.162,142.251.33.36,20,20,Windows,0
